x angle,y angle,x pix,y pix
5,-20,293.8,336.1
0,-20,315.7,336.1
-5,-20,342.3,335.5
-10,-20,368.2,333.7
-15,-20,392.8,331.8
-20,-20,422.2,328.8
-25,-20,452.0,319.0
-30,-20,474.0,315.0
-35,-20,506.0,308.0
-40,-20,532.0,301.0
-45,-20,557.0,294.0
-50,-20,580.0,285.0
-55,-20,602.0,277.0
-50,-25,583.0,303.0
-45,-25,560.0,312.0
-40,-25,535.0,321.0
-35,-25,509.0,330.0
-30,-25,480.0,337.0
-25,-25,455.0,342.0
-20,-25,428.0,347.0
-15,-25,396.0,351.0
-10,-25,370.2,359.3
-5,-25,343.5,360.9
0,-25,315.9,362.3
5,-25,294.1,362.3
10,-25,268.4,361.5
15,-25,240.7,360.2
20,-25,212.2,357.9
25,-25,185.9,354.4
30,-25,158.1,345.7
35,-25,129.0,339.6
40,-25,100.5,332.6
45,-25,73.7,324.5
50,-25,46.6,314.8
55,-25,21.7,305.0
55,-30,20.5,323.4
50,-30,44.9,334.1
45,-30,71.5,345.3
40,-30,99.4,354.7
35,-30,128.4,362.7
30,-30,157.1,369.6
25,-30,185.5,379.0
20,-30,211.7,382.7
15,-30,240.7,385.7
10,-30,269.3,387.4
5,-30,297.0,383.0
0,-30,316.4,387.4
-5,-30,344.4,385.8
-10,-30,371.0,383.8
-15,-30,397.0,375.0
-20,-30,428.0,370.0
-25,-30,455.0,365.0
-30,-30,476.0,365.0
-35,-30,510.0,350.0
-40,-30,535.0,341.0
-45,-30,561.0,331.0
-50,-30,584.0,320.0
-50,-35,587.0,338.0
-45,-35,564.0,350.0
-40,-35,539.0,362.0
-35,-35,514.0,372.0
-30,-35,483.0,383.0
-25,-35,457.0,390.0
-20,-35,429.0,396.0
-15,-35,397.2,406.3
-10,-35,371.5,409.8
-5,-35,344.6,412.2
0,-35,316.3,413.6
5,-35,293.9,413.7
10,-35,268.2,412.8
15,-35,239.6,410.4
20,-35,210.4,407.2
25,-35,183.5,402.7
30,-35,155.5,393.1
35,-35,126.2,385.3
40,-35,96.5,375.5
45,-35,69.6,364.8
50,-35,41.6,352.2
55,-35,16.8,339.3
55,-40,14.7,359.6
50,-40,38.7,374.1
45,-40,66.1,388.3
40,-40,94.5,401.0
35,-40,123.6,411.9
30,-40,152.5,424.2
25,-40,182.1,431.6
20,-40,208.5,437.1
15,-40,239.3,441.1
10,-40,268.0,443.6
5,-40,294.7,444.7
0,-40,316.7,444.6
-5,-40,345.5,442.9
-10,-40,372.8,440.2
-15,-40,398.6,436.2
-20,-40,432.0,425.0
-25,-40,457.7,422.7
-30,-40,483.0,410.0
-35,-40,515.0,398.0
-40,-40,541.0,386.0
-45,-40,566.0,372.0
-50,-40,589.0,358.0
-50,-45,593.0,373.0
-45,-45,571.0,389.0
-40,-45,545.0,404.0
-35,-45,519.0,418.0
-30,-45,486.2,435.8
-25,-45,460.7,445.0
-20,-45,432.2,452.7
-15,-45,400.2,459.6
-10,-45,376.0,459.0
-5,-45,346.6,467.3
0,-45,317.4,469.3
5,-45,293.9,469.3
10,-45,266.9,468.3
15,-45,237.7,465.6
20,-45,207.2,461.2
25,-45,180.1,455.3
30,-45,150.0,447.2
35,-45,119.5,437.3
40,-45,90.1,425.2
45,-45,63.2,408.8
50,-45,35.6,393.3
55,-45,10.6,376.7
55,-50,7.7,393.1
50,-50,33.0,411.2
45,-50,59.7,427.4
40,-50,86.0,443.5
35,-50,117.6,457.6
30,-50,148.1,468.5
-20,-50,435.0,469.0
-25,-50,464.0,460.0
-30,-50,489.0,451.0
-35,-50,522.0,436.0
-40,-50,546.0,422.0
-45,-50,573.0,406.0
-50,-50,595.0,389.0
-30,-55,492.8,477.5
45,-55,54.0,450.9
50,-55,27.9,432.8
55,-55,2.1,412.2
